Size	BST/Insert	BST/Remove	BST/Search	DLL/Insert at the back	DLL/Insert at the front	DLL/Remove from the back	DLL/Remove from the front	DLL/Search	Hash Table/Insert	Hash Table/Remove	Hash Table/Search	SLL/Insert at the back	SLL/Insert at the front	SLL/Remove from the front	SLL/Search	Vector/Insert at the back	Vector/Insert at the front	Vector/Remove from the back	Vector/Remove from the front	Vector/Search
35750	480	305	4049162	107	54	0	0	596530	120	58	4111608	910132	17	0	581477	23	284255	0	213005	503129
36000	431	308	4130798	41	16	0	0	612383	222	85	4161691	907659	10	0	606464	53	270930	0	201734	506154
36250	448	318	4247750	37	52	1	1	585145	107	129	4155593	870299	35	32	603045	18	276946	3	208503	503571
36500	432	349	4224677	5	63	18	0	573208	122	178	4186247	898221	12	0	554757	66	272827	0	205911	538518
36750	445	343	4224417	41	21	0	20	589701	105	126	4221650	911281	18	0	605880	32	281713	1	215913	535450
37000	420	340	4237341	25	28	0	0	581844	123	62	4269311	912819	15	0	610537	99	279198	0	208656	518781
37250	460	343	4266711	8	30	1	1	591647	124	186	4337325	957821	37	0	608674	53	286191	1	213753	515935
37500	429	360	4315160	4	25	10	1	603518	117	133	4648554	1012935	16	39	588658	39	278823	2	214018	531191
37750	467	352	4354237	6	16	9	0	615687	95	103	4347931	950702	18	1	579841	72	281967	2	214919	520589
38000	412	320	4324638	6	15	0	0	620127	121	103	4355829	1099424	18	0	617673	369	294199	0	222691	536779
38250	444	347	4374603	6	52	0	0	640214	117	46	4390760	988104	17	0	637683	328	285320	0	220753	537057
38500	481	358	4432162	44	20	0	1	653204	110	45	4416554	1004103	11	17	647393	142	304348	20	217400	543219
38750	435	320	4467120	35	21	0	24	661985	85	69	4447471	979491	15	0	700492	35	302696	0	220216	532714
39000	510	355	4498335	7	38	0	0	712208	99	87	4493033	1034326	48	1	650984	183	295084	1	220733	534454
39250	535	383	4540277	2	25	1	2	679758	98	156	4486320	1144688	12	0	654794	51	296505	0	226204	549610
39500	458	323	4595365	26	12	0	9	697138	129	122	4512311	1160988	14	3	670917	42	299024	3	221977	555984
39750	450	386	4609003	9	32	0	0	684700	101	45	4577341	1137531	21	4	668562	40	298357	1	232138	554221
40000	483	357	4611445	6	24	0	0	673439	123	32	4584505	1119293	16	1	623496	24	308381	0	231718	552903
40250	466	337	4671436	6	72	0	0	682823	113	9	4597633	1068224	14	2	640478	53	311308	0	234399	569023
40500	498	455	4753782	23	39	0	0	657740	135	82	4627671	1110438	8	0	649536	34	302221	0	228799	571810
40750	432	337	4653735	6	18	0	9	663848	80	61	4666596	1139938	54	6	655917	18	313796	1	234345	570891
41000	464	376	4759650	3	22	10	0	888973	158	56	4715974	1151572	13	4	681867	63	314679	1	234852	572987
41250	533	335	4727086	26	34	1	1	778618	147	14	4755983	1121726	10	308	677356	35	314312	0	239685	577822
41500	519	351	4791273	7	28	0	0	672666	106	21	4776963	1081076	11	3	655827	21	319085	21	239555	576777
41750	441	350	4782089	49	23	0	1	727324	130	17	4804369	1077849	50	0	653509	44	317026	49	232602	585047
42000	466	328	4843818	4	21	0	1	671469	123	64	4819506	1132124	15	2	667415	25	322771	89	236264	583043
42250	485	379	4857856	62	46	0	0	713411	125	101	4867340	1239425	48	13	667099	21	318453	1	251232	591166
42500	516	361	4981898	5	62	0	0	657534	451	3	4875355	1137138	74	0	645114	28	326570	0	238212	604333
42750	455	324	4944110	3	23	0	0	663873	652	10	4912253	1338137	31	0	654818	25	323893	1	249655	592782
43000	503	369	5079865	51	34	1	3	681535	191	23	5003350	1267218	15	0	665384	23	339792	0	241645	593678
43250	469	337	4962201	5	24	26	1	716320	112	44	4985259	1114448	41	0	679006	44	426471	0	245692	607020
43500	482	368	5000624	2	32	0	0	675905	139	7	5002951	1313294	25	0	720130	34	341531	1	243815	607073
43750	454	385	5048670	26	47	0	20	727337	112	14	5073521	1254955	32	0	689396	22	340927	1	252621	608328
44000	453	357	5118496	5	22	0	0	717134	105	3	5079677	1206858	9	0	763178	71	344263	1	248087	623482
44250	536	352	5098769	4	17	0	0	702461	157	29	5091281	1287368	32	0	784157	27	337523	5	252816	618065
44500	442	323	5083477	4	27	0	18	764946	103	2	5094287	1222391	18	18	751462	18	336183	3	263586	631746
44750	461	369	5172036	27	47	0	1	810506	122	2	5126898	1271853	17	0	746784	42	350408	1	251237	621335
45000	528	410	5205986	7	26	1	0	809263	102	32	5203319	1218499	35	0	722164	23	352921	0	255947	617282
45250	499	391	5290039	5	45	1	1	719240	192	6	5180165	1314709	24	0	717147	32	367652	1	267384	627970
45500	646	350	5265293	5	186	0	0	715406	115	6	5185555	1312481	54	9	705901	29	381670	1	269445	650897
45750	513	365	5349052	5	30	11	0	716789	113	4	5202828	1247136	27	0	708599	23	347941	0	260119	637326
46000	466	347	5342265	3	29	0	0	739020	141	4	5282566	1268523	23	1	708584	63	360592	1	255591	641977
46250	473	403	5351467	30	19	0	0	737909	111	42	5317086	1230818	11	0	734962	50	388490	61	266122	637602
46500	469	344	5381457	14	61	0	22	722025	128	10	5294820	1361551	8	0	726585	37	408227	48	263716	663198
46750	542	397	5559748	81	31	0	0	743752	114	3	5347261	1277034	11	0	738849	53	372403	8	266346	668512
47000	445	336	5638389	236	41	0	2	740648	104	28	5399606	1322165	64	1	729864	18	382723	7	265923	673078
47250	446	353	5453266	62	150	1	1	753855	260	5	5425784	1378945	10	1	722917	25	385882	0	278188	664346
47500	442	368	5454843	8	50	0	1	789662	281	3	5480754	1317971	15	0	731107	53	373250	2	263653	654468
47750	455	410	5538035	52	76	18	0	845730	206	25	5474420	1309292	45	0	743140	29	376124	3	271129	662218
48000	454	383	5569285	4	45	0	1	829744	196	6	5495176	1348499	13	38	744681	74	375376	2	281166	672744
48250	484	392	5560551	3	50	29	2	807711	155	27	5547589	1336996	12	0	754835	27	375994	1	275576	681216
48500	457	373	5807930	5	47	1	0	842132	289	2	5561804	1391482	10	0	751333	30	376708	0	278891	678305
48750	522	382	5808619	1	52	0	2	856085	202	46	5588199	1405729	152	0	759514	24	414145	4	277432	669112
49000	464	352	8491266	17	92	37	12	792798	292	44	5597959	1333143	49	1	781796	65	388715	1	290142	681693
49250	490	370	8765222	43	52	0	33	779340	217	3	5676957	1435473	92	17	770958	25	458747	0	293476	687036
49500	507	368	8696842	3	48	0	10	785406	183	5	5761888	1365148	15	0	756477	85	386795	0	290189	695271
49750	485	386	8710889	4	42	0	12	842632	202	6	5812088	1431875	12	0	768870	52	393668	2	292105	699051
50000	508	356	8734814	3	42	10	30	880839	231	7	5928446	1430542	16	0	778923	125	405622	1	290735	710634
50250	482	376	8898276	2	62	0	0	885735	124	4	5881483	1422345	45	11	773630	28	390342	2	286762	692961
50500	538	410	8989381	2	43	0	0	874309	143	2	5966184	1476475	13	1	786497	30	396133	0	288945	702502
50750	512	360	8843496	2	39	0	0	877363	119	2	5939425	1484822	11	0	812176	79	391703	44	285706	698704
51000	459	358	8814412	6	46	0	0	826288	134	8	5959437	1462431	7	0	794151	44	398626	1	287270	711525
51250	517	356	9010239	32	103	0	0	826732	111	5	5983142	1368304	95	4	811166	23	422269	9	290468	714621
51500	489	381	8868544	6	43	0	0	820120	9704	16	6029484	1415556	317	13	804684	21	445685	1	295943	720416
51750	491	384	8773693	38	29	0	1	932764	222	60	6094511	1399747	66	1	800334	54	430027	1	296840	723115
52000	474	406	9225104	38	30	0	2	804297	183	349	6108101	1431349	57	99	814736	43	419001	3	305369	743564
52250	504	375	9348072	4	70	21	0	835048	173	263	6127518	1476772	9	0	818764	40	396102	1	298729	730155
52500	495	412	9299826	40	37	0	1	836761	240	9	6160639	1559875	56	0	822418	92	435898	1	302193	723559
52750	551	389	9367492	2	59	0	0	860197	238	10	6160863	1517791	12	1	828618	135	452742	1	307774	727832
53000	455	355	9341814	42	34	0	2	846199	156	18	6249820	1601408	11	4	823101	30	435820	1	296278	755937
53250	496	405	9366861	2	42	54	1	859206	203	5	6253740	1588283	8	0	838347	34	407203	0	306136	753692
53500	506	412	9423290	3	46	0	0	894443	184	124	6299303	1486730	52	0	827814	53	390691	1	297210	742095
53750	508	385	9314668	32	34	0	10	845159	239	30	6326620	1509396	10	9	828022	21	401083	3	310090	744925
54000	563	376	9408545	0	121	0	35	876912	213	35	6401916	1518744	12	10	839013	34	394517	1	321195	756560
54250	467	404	9361758	2	203	2	0	870061	197	81	6393378	1507153	17	1	965688	31	412132	1	304731	775178
54500	463	403	9467303	4	39	0	0	933701	234	149	6426031	1489086	18	69	931516	18	392248	117	329170	761223
54750	511	437	9320250	41	40	0	0	1009256	273	265	6468822	1537381	7	0	907498	21	398011	39	324396	855227
55000	487	419	9500985	3	54	0	0	870185	230	179	6476796	1513504	10	0	914597	27	372422	3	326326	787088
55250	519	551	9437768	3	84	0	0	873096	224	285	6474375	1579754	73	0	911190	18	390418	0	325096	774820
55500	478	400	9537983	8	50	0	0	918057	267	234	6521907	1576763	11	1	926003	16	389986	2	319469	783564
55750	490	382	9506343	43	25	0	0	953420	256	112	7151086	1594870	6	17	919283	79	375366	2	311504	772587
56000	564	357	9795942	6	22	0	16	960315	236	110	6598572	1697931	66	0	928818	26	375512	0	319844	782480
56250	470	417	9888917	17	25	1	0	965516	304	127	6737685	1552661	7	0	943787	19	380400	0	326515	776229
56500	523	301	9947209	54	33	10	36	897623	290	205	6596464	1655058	12	0	935166	50	379589	0	334011	802439
56750	453	338	10004601	2	86	0	1	910390	252	284	6652653	1587872	11	0	952550	25	382576	22	325308	795436
57000	440	351	10065927	4	36	46	15	918979	220	310	6657777	1521595	19	0	952254	22	366755	1	333566	790771
57250	394	331	10218536	0	19	0	1	936223	228	183	6677807	1588112	11	0	915428	26	387141	1	340493	795990
57500	458	294	10289810	30	26	0	1	1120172	226	201	6737946	1531563	9	1	917940	29	397401	1	327329	796302
57750	437	373	10357127	4	17	16	0	930963	223	167	6771336	1561005	12	0	895787	21	388351	0	333283	799087
58000	431	336	10267651	2	19	0	2	945647	269	162	6828745	1591888	18	1	920761	24	396900	6	333469	808170
58250	392	376	10420588	30	61	0	0	955261	416	177	6859106	1613537	13	18	964597	30	396085	1	335209	817053
58500	427	375	10255080	3	25	0	0	967728	327	155	6890963	1584927	14	1	961930	21	394980	1	333692	816146
58750	474	316	10372714	36	18	0	0	997838	239	167	6899672	1595745	4	0	969956	73	398981	0	341559	821080
59000	435	325	10480092	0	25	16	0	987611	122	178	6915595	1605660	66	0	980945	26	495442	0	339200	809570
59250	446	551	10482846	15	30	1	1	994718	308	189	6960410	1614672	8	2	964184	42	500804	0	344556	827546
59500	435	333	10460540	2	22	0	0	1038645	288	252	6965386	1612695	12	0	924572	21	463261	0	332221	828543
59750	435	405	10530406	2	29	34	2	974894	307	161	7008947	1606772	21	5	931721	27	531255	0	348006	843907
60000	400	429	10695183	54	21	34	0	1132340	411	185	7053992	1650663	11	0	939050	20	504738	0	353007	830966
60250	447	376	10799895	5	15	0	0	1046575	276	204	7063968	1657385	16	1	936411	24	488590	0	349906	849146
60500	461	381	10772548	1	43	31	0	1034414	257	207	7167564	1698172	14	3	949100	24	452932	0	355016	849034
60750	429	391	10768582	3	22	1	2	1065076	288	156	7098573	1627668	22	12	957879	26	423733	0	348732	851485
